RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Abad, F",HOU,P,37,6,46,9,3,6,0,0,-,-,-,-,-,1,0.24
1," Accardo, J",OAK,P,27,0,37.1,9,2,7,0,2,-,-,-,-,-,1,0.33
1," Adams, M",TEX,P,61,0,52.1,17,5,12,0,2,-,-,-,-,-,1,0.28
1," Alburquerque, A",DET,P,8,0,13.1,2,0,2,0,0,-,-,-,-,-,1,0.25
1," Allen, B",TB,LF,6,5,43,31,29,2,0,1,-,-,-,-,-,1,5.17
1," Allen, C",CLE,P,27,0,29,5,3,2,0,0,-,-,-,-,-,1,0.19
1," Ambriz, H",HOU,P,18,0,19.1,5,2,3,0,0,-,-,-,-,-,1,0.28
1," Anderson, B",OAK,P,6,6,35,1,0,1,0,0,-,-,-,-,-,1,0.17
1," Anderson, L",CLE,1B,6,1,12,5,5,0,0,0,-,-,-,-,-,1,0.83
1," Arroyo, B",CIN,P,32,32,202,47,16,31,0,1,-,-,-,-,-,1,1.47
1," Asencio, J",CHC,P,30,0,40.1,1,0,1,0,0,-,-,-,-,-,1,0.03
1," Atchison, S",BOS,P,42,0,51.1,18,8,10,0,0,-,-,-,-,-,1,0.43
1," Aumont, P",PHI,P,18,0,14.2,3,0,3,0,0,-,-,-,-,-,1,0.17
1," Axelrod, D",CWS,P,14,7,51,8,2,6,0,0,-,-,-,-,-,1,0.57
1," Ayala, L",BAL,P,66,0,75,17,4,13,0,1,-,-,-,-,-,1,0.26
1," Bailey, A",BOS,P,19,0,15.1,1,0,1,0,0,-,-,-,-,-,1,0.05
1," Balester, C",DET,P,11,0,18,1,1,0,0,0,-,-,-,-,-,1,0.09
1," Balfour, G",OAK,P,75,0,74.2,13,6,7,0,0,-,-,-,-,-,1,0.17
1," Bard, D",BOS,P,17,10,59.1,12,4,8,0,3,-,-,-,-,-,1,0.71
1," Barnes, B",HOU,CF,38,24,227.1,68,65,3,0,1,-,-,-,-,-,1,1.79
1," Barnes, S",CLE,P,16,0,19,5,2,3,0,0,-,-,-,-,-,1,0.31
1," Barton, D",OAK,1B,43,33,313.1,336,319,17,0,30,-,-,-,-,-,1,7.81
1," Bass, A",SD,P,24,15,97,21,9,12,0,0,-,-,-,-,-,1,0.88
1," Beachy, B",ATL,P,13,13,81,8,1,7,0,1,-,-,-,-,-,1,0.62
1," Beato, P",BOS,P,11,0,12,1,0,1,0,0,-,-,-,-,-,1,0.09
1," Bedard, E",PIT,P,24,24,125.2,14,5,9,0,2,-,-,-,-,-,1,0.58
1," Beliveau, J",CHC,P,22,0,17.2,4,0,4,0,0,-,-,-,-,-,1,0.18
1," Bell, H",ARI,P,73,0,63.2,15,1,14,0,2,-,-,-,-,-,1,0.21
1," Below, D",DET,P,27,1,46.1,10,2,8,0,0,-,-,-,-,-,1,0.37
1," Benoit, J",DET,P,73,0,71,12,4,8,0,0,-,-,-,-,-,1,0.16
1," Berken, J",CHC,P,5,4,19.2,6,1,5,0,0,-,-,-,-,-,1,1.2
1," Bernadina, R",WSH,LF,101,49,503.2,120,117,3,0,1,-,-,-,-,-,1,1.19
1," Betancourt, R",COL,P,60,0,57.2,4,3,1,0,0,-,-,-,-,-,1,0.07
1," Bixler, B",HOU,2B,27,18,177,61,29,32,0,5,-,-,-,-,-,1,2.26
1," Blackburn, N",MIN,P,19,19,98.2,24,10,14,0,2,-,-,-,-,-,1,1.26
1," Blackmon, C",COL,RF,33,24,230,58,54,4,0,2,-,-,-,-,-,1,1.76
1," Blanks, K",SD,LF,2,1,9.2,6,6,0,0,0,-,-,-,-,-,1,3
1," Blevins, J",OAK,P,63,0,65.1,7,0,7,0,0,-,-,-,-,-,1,0.11
1," Blum, G",ARI,3B,6,5,44,14,1,13,0,2,-,-,-,-,-,1,2.33
1," Bowden, M",CHC,P,32,0,39.2,4,0,4,0,0,-,-,-,-,-,1,0.13
1," Bray, B",CIN,P,14,0,8.2,3,1,2,0,0,-,-,-,-,-,1,0.21
1," Breslow, C",BOS,P,63,0,63.1,7,1,6,0,0,-,-,-,-,-,1,0.11
1," Brothers, R",COL,P,75,0,67.2,6,1,5,0,1,-,-,-,-,-,1,0.08
1," Brown, C",WSH,CF,11,2,37.1,14,14,0,0,0,-,-,-,-,-,1,1.27
1," Brown, D",PHI,LF,67,51,449.2,101,94,7,0,1,-,-,-,-,-,1,1.51
1," Browning, B",STL,P,22,0,19.1,2,0,2,0,0,-,-,-,-,-,1,0.09
1," Broxton, J",CIN,P,60,0,58,11,4,7,0,0,-,-,-,-,-,1,0.18
1," Buehrle, M",MIA,P,31,31,202.1,60,13,47,0,5,-,-,-,-,-,1,1.94
1," Bueno, F",KC,P,18,0,17.1,4,1,3,0,1,-,-,-,-,-,1,0.22
1," Burnett, A",MIN,P,67,0,71.2,14,4,10,0,1,-,-,-,-,-,1,0.21
1," Burnett, S",WSH,P,70,0,56.2,17,7,10,0,2,-,-,-,-,-,1,0.24
1," Burroughs, S",MIN,3B,4,3,25,12,7,5,0,2,-,-,-,-,-,1,3
1," Byrdak, T",NYM,P,56,0,30.2,6,1,5,0,1,-,-,-,-,-,1,0.11
1," Calhoun, K",LAA,RF,18,3,52,13,13,0,0,0,-,-,-,-,-,1,0.72
