RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
1," Clippard, T",WSH,P,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Dillard, T",MIL,P,13,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Fiorentino, J",BAL,RF,2,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2
1," Haeger, C",SD,P,4,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Hernandez, F",SEA,P,1,1,1,1,0,0,1,4,0,0,0,0,1,1,4,5
1," Korecky, B",MIN,P,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
1," Luna, H",TOR,3B,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2
1," Tupman, M",KC,C,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
9," Stokes, B",NYM,P,24,3,0,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
10," Baker, S",MIN,P,2,2,1,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Bedard, E",SEA,P,2,4,0,2,0,0,0,0,0,2,0,0,0.5,0.5,0.5,1
10," Escobar, A",MIL,SS,9,4,2,2,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Gamel, M",MIL,3B,2,2,0,1,1,0,0,0,0,1,0,0,0.5,0.5,1,1.5
10," Hurley, E",TEX,P,1,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Laffey, A",CLE,P,1,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
10," Marson, L",PHI,C,1,4,2,2,0,0,1,2,0,2,0,0,0.5,0.5,1.25,1.75
10," Maybin, C",FLA,CF,8,32,9,16,2,0,0,2,3,8,4,0,0.5,0.543,0.563,1.105
10," Smith, G",OAK,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
10," Snelling, C",PHI,LF,4,4,1,2,1,0,1,1,0,0,0,0,0.5,0.5,1.5,2
10," Taubenheim, T",PIT,P,1,2,0,1,1,0,0,1,0,0,0,0,0.5,0.5,1,1.5
10," Worrell, M",STL,P,4,2,1,1,0,0,1,3,0,0,0,0,0.5,0.5,2,2.5
22," Germano, J",SD,P,12,9,1,4,1,0,0,1,0,3,0,0,0.444,0.444,0.556,1
23," Bohn, T",PHI,LF,14,5,1,2,1,0,0,3,0,1,0,0,0.4,0.4,0.6,1
23," Miranda, J",NYY,1B,5,10,2,4,1,0,0,1,2,4,0,0,0.4,0.5,0.5,1
23," Sonnanstine, A",TB,P,3,5,2,2,0,0,0,0,2,3,0,0,0.4,0.571,0.4,0.971
26," LeBlanc, W",SD,P,5,8,0,3,0,0,0,0,0,3,0,0,0.375,0.375,0.375,0.75
26," Sanchez, G",FLA,1B,5,8,0,3,2,0,0,1,0,2,0,0,0.375,0.375,0.625,1
26," Stansberry, C",SD,2B,12,16,4,6,1,0,0,2,2,3,0,0,0.375,0.444,0.438,0.882
29," Jones Jr., C",ATL,3B,128,439,82,160,24,1,22,75,90,61,4,0,0.364,0.47,0.574,1.044
30," Pujols, A",STL,1B,148,524,100,187,44,0,37,116,104,54,7,3,0.357,0.462,0.653,1.114
31," Furcal, R",LAD,SS,36,143,34,51,12,2,5,16,20,17,8,3,0.357,0.439,0.573,1.012
32," Petit, G",OAK,SS,14,23,4,8,2,0,0,0,2,9,0,0,0.348,0.4,0.435,0.835
33," Alou, M",NYM,LF,15,49,4,17,2,0,0,9,2,4,1,1,0.347,0.389,0.388,0.777
34," Sandoval, P",SF,3B,41,145,24,50,10,1,3,24,4,14,0,0,0.345,0.357,0.49,0.847
35," Hoffpauir, M",CHC,RF,33,73,14,25,8,0,2,8,6,24,1,0,0.342,0.4,0.534,0.934
36," Zambrano, C",CHC,P,37,83,9,28,4,1,4,14,0,24,0,0,0.337,0.337,0.554,0.892
37," Bellorin, E",COL,C,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
37," Blackburn, N",MIN,P,1,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
37," Bourgeois, J",CWS,2B,6,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1
37," Burnett, S",PIT,P,55,3,1,1,1,0,0,0,0,2,0,0,0.333,0.333,0.667,1
37," Carter, C",BOS,LF,9,18,5,6,0,0,0,3,2,5,0,0,0.333,0.4,0.333,0.733
37," Condrey, C",PHI,P,55,3,1,1,1,0,0,0,0,2,0,0,0.333,0.333,0.667,1
37," Feldman, S",TEX,P,2,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
37," Hernandez, A",WSH,SS,28,81,11,27,4,0,0,17,10,8,0,0,0.333,0.407,0.383,0.789
37," Loaiza, E",CWS,P,7,6,1,2,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667
37," Marshall, S",CHC,P,33,15,0,5,0,0,0,1,0,7,0,0,0.333,0.333,0.333,0.667
37," Olson, G",BAL,P,2,3,1,1,0,0,0,1,0,0,0,0,0.333,0.25,0.333,0.583
37," Osoria, F",PIT,P,41,6,1,2,0,0,0,1,0,3,0,0,0.333,0.333,0.333,0.667
49," Ramirez, M",LAD,LF,153,552,102,183,36,1,37,121,87,124,3,0,0.332,0.43,0.601,1.031
50," Cruz, N",TEX,RF,31,115,19,38,9,1,7,26,17,28,3,1,0.33,0.421,0.609,1.03
51," Mauer, J",MIN,C,146,536,98,176,31,4,9,85,84,50,1,1,0.328,0.413,0.451,0.864
52," Pedroia, D",BOS,2B,157,653,118,213,54,2,17,83,50,52,20,1,0.326,0.376,0.493,0.869
53," Hairston Jr., J",CIN,SS,80,261,47,85,20,2,6,36,23,36,15,3,0.326,0.384,0.487,0.871
54," Aviles, M",KC,SS,102,419,68,136,27,4,10,51,18,58,8,3,0.325,0.354,0.48,0.833
55," Macri, M",MIN,3B,18,34,3,11,1,0,1,4,2,10,1,1,0.324,0.361,0.441,0.802
56," Casey, S",BOS,1B,69,199,14,64,14,0,0,17,17,25,1,0,0.322,0.381,0.392,0.773
57," Bradley, M",TEX,DH,126,414,78,133,32,1,22,77,80,112,5,3,0.321,0.436,0.563,0.999
58," Holliday, M",COL,LF,139,539,107,173,38,2,25,88,74,104,28,2,0.321,0.409,0.538,0.947
59," Prado, M",ATL,2B,78,228,36,73,18,4,2,33,21,29,3,1,0.32,0.377,0.461,0.838
60," Schierholtz, N",SF,RF,19,75,12,24,8,1,1,5,3,8,0,1,0.32,0.37,0.493,0.864
61," Teagarden, T",TEX,C,16,47,10,15,5,0,6,17,5,19,0,0,0.319,0.396,0.809,1.205
62," Kinsler, I",TEX,2B,121,518,102,165,41,4,18,71,45,67,26,2,0.319,0.375,0.517,0.892
63," Ryan, D",DET,C,15,44,6,14,2,0,2,7,5,13,0,0,0.318,0.38,0.5,0.88
64," Doumit, R",PIT,C,116,431,71,137,34,0,15,69,23,55,2,2,0.318,0.357,0.501,0.858
65," Ordonez, M",DET,RF,146,561,72,178,32,2,21,103,53,76,1,5,0.317,0.376,0.494,0.869
66," Miles, A",STL,2B,134,379,49,120,15,2,4,31,23,37,3,3,0.317,0.355,0.398,0.753
67," Guzman, C",WSH,SS,138,579,77,183,35,5,9,55,23,57,6,5,0.316,0.345,0.44,0.786
68," Lee, C",HOU,1B,115,436,61,137,27,0,28,100,37,49,4,1,0.314,0.368,0.569,0.937
69," Spilborghs, R",COL,LF,89,233,38,73,14,2,6,36,38,41,7,4,0.313,0.407,0.468,0.875
70," Murphy, D",NYM,1B,49,131,24,41,9,3,2,17,18,28,0,2,0.313,0.397,0.473,0.871
71," Berkman, L",HOU,1B,159,554,114,173,46,4,29,106,99,108,18,4,0.312,0.42,0.567,0.986
72," Youkilis, K",BOS,1B,145,538,91,168,43,4,29,115,62,108,3,5,0.312,0.39,0.569,0.958
73," Suzuki, I",SEA,RF,162,686,103,213,20,7,6,42,51,65,43,4,0.31,0.361,0.386,0.747
74," Choo, S",CLE,RF,94,317,68,98,28,3,14,66,44,78,4,3,0.309,0.397,0.549,0.946
75," Abercrombie, R",HOU,LF,34,55,10,17,5,0,2,5,1,23,5,2,0.309,0.339,0.509,0.848
