RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
1," Jones, N",CWS,0,0,*.**,2,0,0,1,0,2,4,4,0,3,0,1,*.**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,.---,-.--,1,1.5,2.5,-.--,*.**,*.**,0,*.**
2," Bell, T",CIN,0,0,67.5,2,0,0,0,0.2,5,5,5,0,2,0,0.714,10.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,36,.---,*.**,0.778,1,1.778,0,27,67.5,0,54
2," Joseph, D",MIA,0,0,81,1,0,0,0,0.2,5,6,6,1,1,2,0.714,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,.---,-.--,0.75,1.286,2.036,27,13.5,67.5,2,45
2," Wall, J",PIT,0,0,54,2,0,0,0,1,5,6,6,0,3,0,0.714,8,0,0,0,0,1,0,0,0,3,0,0,0,0,0,11,43,.---,0,0.727,0.857,1.584,0,27,45,0,43
5," Brooks, A",KC,0,1,43.88,2,1,0,0,2.2,12,13,13,1,3,2,0.667,5.62,0,0,2,0,1,0,1,3,2,0,0,1,0,0,24,87,0,1.5,0.708,1.056,1.764,6.75,10.13,40.5,0.67,32.62
6," Tuivailala, S",STL,0,0,36,2,0,0,0,1,5,4,4,2,2,1,0.625,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,42,.---,0,0.7,1.375,2.075,9,18,45,0.5,42
7," Leesman, C",CWS,0,1,20.25,1,1,0,0,2.2,9,6,6,1,1,0,0.6,3.75,0,0,0,0,0,0,0,2,5,0,0,0,1,0,17,73,0,0.4,0.588,1.067,1.655,0,3.38,30.38,0,27.37
8," Cabral, C",NYY,0,0,27,4,0,0,0,1,4,3,3,0,2,2,0.571,6,0,0,3,0,0,1,0,0,1,1,1,0,0,0,12,49,.---,0,0.75,0.571,1.321,18,18,36,1,49
8," Paterson, J",ARI,0,0,33.75,3,0,0,0,1.1,4,5,5,0,1,0,0.571,3.75,0,0,1,0,1,0,0,1,3,0,0,0,0,0,10,34,.---,0.33,0.6,1,1.6,0,6.75,27,0,25.5
8," Romine, A",DET,0,0,27,1,0,0,0,1,4,3,3,2,0,1,0.571,4,0,0,0,0,1,0,0,0,2,1,0,0,0,0,7,27,.---,0,0.571,1.571,2.143,9,0,36,*.**,27
11," Leroux, C",NYY,0,1,22.5,2,0,0,0,2,7,5,5,0,2,3,0.538,4.5,0,0,0,1,2,0,0,1,2,0,0,1,0,0,15,56,0,0.5,0.6,0.615,1.215,13.5,9,31.5,1.5,28
12," Kickham, M",SF,0,0,22.5,2,0,0,0,2,8,5,5,1,1,1,0.533,4.5,0,0,0,0,0,0,0,5,1,0,0,1,0,0,16,53,.---,5,0.563,0.733,1.296,4.5,4.5,36,1,26.5
